Subj,CC,trial,Q,F,P,Pword,Item,rt,Score
S01,cc1,1,deg,NW,unr,sweet,PORDLY,762,C
S01,cc1,2,deg,LF,unr,burst,CAKE,794,C
S01,cc1,3,clr,HF,unr,counsel,PARTY,506,C
S01,cc1,4,deg,NW,unr,rose,FLIMER,612,C
S01,cc1,5,clr,HF,rel,mark,SPOT,491,C
S01,cc1,6,deg,NW,unr,excuse,DOMP,631,C
S01,cc1,7,deg,NW,unr,green,BIETER,637,C
S01,cc1,8,deg,NW,unr,stove,UNBERM,690,C
S01,cc1,9,deg,HF,rel,length,LONG,486,C
S01,cc1,10,deg,HF,unr,vanish,YEAR,482,C
S01,cc1,11,clr,HF,rel,town,COUNTRY,542,C
S01,cc1,12,clr,NW,unr,heel,PAIME,583,C
S01,cc1,13,deg,NW,unr,dull,ENSUCT,591,E
S01,cc1,14,deg,NW,unr,husk,DEAT,799,C
S01,cc1,15,deg,HF,rel,must,HAVE,766,C
S01,cc1,16,deg,NW,unr,ceiling,HILK,670,C
S01,cc1,17,clr,NW,unr,brush,NOAL,675,C
S01,cc1,18,deg,NW,unr,peel,NAFTS,648,C
S01,cc1,19,deg,NW,unr,strange,NONWAIM,1164,C
S01,cc1,20,clr,NW,unr,where,NENTS,701,C
S01,cc1,21,deg,LF,unr,musk,TUSK,993,C
S01,cc1,22,clr,LF,unr,seal,CARDS,552,C
S01,cc1,23,deg,NW,unr,drug,VELP,738,C
S01,cc1,24,clr,HF,rel,brawl,FIGHT,499,C
S01,cc1,25,clr,NW,unr,stain,SACE,671,C
S01,cc1,26,deg,LF,rel,mule,DONKEY,643,C
S01,cc1,27,deg,LF,unr,pound,HANGER,904,C
S01,cc1,28,deg,HF,rel,slap,FACE,501,C
S01,cc1,29,clr,LF,rel,juggler,VEIN,640,C
S01,cc1,30,clr,LF,rel,destiny,GOAL,484,C
S01,cc1,31,deg,HF,rel,bleach,WHITE,592,E
S01,cc1,32,deg,NW,unr,male,BOAFE,1216,C
S01,cc1,33,clr,NW,unr,death,HESTEL,1085,C
S01,cc1,34,clr,LF,rel,famine,HUNGER,497,C
S01,cc1,35,clr,NW,unr,liberty,TRUDE,1517,E
S01,cc1,36,deg,NW,unr,tire,RESATH,855,C
S01,cc1,37,clr,NW,unr,lobster,HICE,1044,C
S01,cc1,38,deg,HF,rel,serial,NUMBER,618,C
S01,cc1,39,clr,HF,rel,nephew,UNCLE,816,C
S01,cc1,40,deg,NW,unr,whip,BERE,719,C
S01,cc1,41,deg,HF,rel,voice,SOUND,753,C
S01,cc1,42,deg,NW,unr,boring,TICED,946,E
S01,cc1,43,deg,NW,unr,minute,RERN,1187,C
S01,cc1,44,clr,LF,rel,symbol,SIGN,708,C
S01,cc1,45,clr,NW,unr,trash,FONGE,629,C
S01,cc1,46,deg,NW,unr,palm,GACKEL,715,C
S01,cc1,47,deg,NW,unr,mammal,SORN,1055,C
S01,cc1,48,deg,HF,unr,pack,GIVE,548,C
S01,cc1,49,clr,LF,unr,pear,ORANGE,632,C
S01,cc1,50,deg,NW,unr,artery,VACER,766,C
S01,cc1,51,deg,HF,unr,glove,WALK,766,C
S01,cc1,52,deg,NW,unr,avenue,POSTSIRM,1102,C
S01,cc1,53,clr,HF,unr,private,CENTER,626,C
S01,cc1,54,deg,LF,unr,prank,HOSTAGE,568,C
S01,cc1,55,deg,NW,unr,liver,GIPER,640,C
S01,cc1,56,clr,LF,unr,scallop,SHIRT,501,C
S01,cc1,57,clr,HF,unr,lips,KNOW,544,C
S01,cc1,58,deg,NW,unr,sail,WIET,746,C
S01,cc1,59,deg,NW,unr,boots,DERON,698,C
S01,cc1,60,deg,LF,unr,rise,DUMB,606,C
S01,cc1,61,deg,NW,unr,poise,UNGURB,725,C
S01,cc1,62,clr,HF,rel,fact,FIGURE,440,C
S01,cc1,63,deg,HF,rel,mirage,VISION,804,C
S01,cc1,64,deg,HF,rel,complex,HARD,532,C
S01,cc1,65,deg,LF,unr,warmth,SKIN,494,C
S01,cc1,66,deg,NW,unr,exam,SARTED,665,C
S01,cc1,67,clr,NW,unr,learn,PARN,813,C
S01,cc1,68,clr,LF,rel,straw,SODA,460,C
S01,cc1,69,clr,NW,unr,live,DEFITY,665,C
S01,cc1,70,clr,NW,unr,bicycle,FANDER,1020,C
S01,cc1,71,clr,HF,unr,dock,HEAD,499,C
S01,cc1,72,clr,LF,unr,reel,HABIT,719,C
S01,cc1,73,deg,HF,unr,since,BOARD,737,C
S01,cc1,74,deg,NW,unr,ball,DISBAMP,595,C
S01,cc1,75,clr,NW,unr,risk,DIPER,698,E
S01,cc1,76,deg,NW,unr,dark,GAKER,1061,C
S01,cc1,77,clr,NW,unr,biscuit,TORD,1161,C
