Subj,Item,trial,Freq,Prime,Qlty,lagQlty,lagTrgt,rt,F,P,Q,lQ,lT,rrt,trial.c
S01,CAKE,2,low,unrelated,degraded,degraded,nonword,794,1,1,1,1,1,-1.2594458438287153,-238
S01,PARTY,3,high,unrelated,clear,degraded,word,506,-1,1,-1,1,-1,-1.976284584980237,-237
S01,SPOT,5,high,related,clear,degraded,nonword,491,-1,-1,-1,1,1,-2.0366598778004072,-235
S01,LONG,9,high,related,degraded,degraded,nonword,486,-1,-1,1,1,1,-2.05761316872428,-231
S01,YEAR,10,high,unrelated,degraded,degraded,word,482,-1,1,1,1,-1,-2.074688796680498,-230
S01,COUNTRY,11,high,related,clear,degraded,word,542,-1,-1,-1,1,-1,-1.845018450184502,-229
S01,HAVE,15,high,related,degraded,degraded,nonword,766,-1,-1,1,1,1,-1.3054830287206267,-225
S01,TUSK,21,low,unrelated,degraded,clear,nonword,993,1,1,1,-1,1,-1.0070493454179255,-219
S01,CARDS,22,low,unrelated,clear,degraded,word,552,1,1,-1,1,-1,-1.8115942028985508,-218
S01,FIGHT,24,high,related,clear,degraded,nonword,499,-1,-1,-1,1,1,-2.004008016032064,-216
S01,DONKEY,26,low,related,degraded,clear,nonword,643,1,-1,1,-1,1,-1.5552099533437014,-214
S01,HANGER,27,low,unrelated,degraded,degraded,word,904,1,1,1,1,-1,-1.1061946902654867,-213
S01,FACE,28,high,related,degraded,degraded,word,501,-1,-1,1,1,-1,-1.996007984031936,-212
S01,VEIN,29,low,related,clear,degraded,word,640,1,-1,-1,1,-1,-1.5625,-211
S01,GOAL,30,low,related,clear,clear,word,484,1,-1,-1,-1,-1,-2.0661157024793386,-210
S01,HUNGER,34,low,related,clear,clear,nonword,497,1,-1,-1,-1,1,-2.0120724346076457,-206
S01,NUMBER,38,high,related,degraded,clear,nonword,618,-1,-1,1,-1,1,-1.6181229773462784,-202
S01,UNCLE,39,high,related,clear,degraded,word,816,-1,-1,-1,1,-1,-1.2254901960784315,-201
S01,SOUND,41,high,related,degraded,degraded,nonword,753,-1,-1,1,1,1,-1.3280212483399734,-199
S01,SIGN,44,low,related,clear,degraded,nonword,708,1,-1,-1,1,1,-1.4124293785310735,-196
S01,GIVE,48,high,unrelated,degraded,degraded,nonword,548,-1,1,1,1,1,-1.8248175182481752,-192
S01,WALK,51,high,unrelated,degraded,degraded,nonword,766,-1,1,1,1,1,-1.3054830287206267,-189
S01,CENTER,53,high,unrelated,clear,degraded,nonword,626,-1,1,-1,1,1,-1.597444089456869,-187
S01,HOSTAGE,54,low,unrelated,degraded,clear,word,568,1,1,1,-1,-1,-1.7605633802816902,-186
S01,SHIRT,56,low,unrelated,clear,degraded,nonword,501,1,1,-1,1,1,-1.996007984031936,-184
S01,KNOW,57,high,unrelated,clear,clear,word,544,-1,1,-1,-1,-1,-1.838235294117647,-183
S01,DUMB,60,low,unrelated,degraded,degraded,nonword,606,1,1,1,1,1,-1.6501650165016502,-180
S01,FIGURE,62,high,related,clear,degraded,nonword,440,-1,-1,-1,1,1,-2.272727272727273,-178
S01,VISION,63,high,related,degraded,clear,word,804,-1,-1,1,-1,-1,-1.243781094527363,-177
S01,HARD,64,high,related,degraded,degraded,word,532,-1,-1,1,1,-1,-1.8796992481203008,-176
S01,SKIN,65,low,unrelated,degraded,degraded,word,494,1,1,1,1,-1,-2.0242914979757085,-175
S01,SODA,68,low,related,clear,clear,nonword,460,1,-1,-1,-1,1,-2.1739130434782608,-172
S01,HEAD,71,high,unrelated,clear,clear,nonword,499,-1,1,-1,-1,1,-2.004008016032064,-169
S01,HABIT,72,low,unrelated,clear,clear,word,719,1,1,-1,-1,-1,-1.3908205841446453,-168
S01,BOARD,73,high,unrelated,degraded,clear,word,737,-1,1,1,-1,-1,-1.3568521031207599,-167
S01,WRITE,79,high,related,clear,degraded,nonword,486,-1,-1,-1,1,1,-2.05761316872428,-161
S01,WITCH,82,low,unrelated,clear,degraded,nonword,562,1,1,-1,1,1,-1.7793594306049823,-158
S01,GAMBLE,83,high,unrelated,clear,clear,word,587,-1,1,-1,-1,-1,-1.7035775127768313,-157
S01,POLE,84,low,unrelated,degraded,clear,word,722,1,1,1,-1,-1,-1.3850415512465375,-156
