subj	exp	item	cond	rating	rt
1	Exp1	1	a	6	3311
1	Exp1	5	a	6	4573
1	Exp1	9	a	6	1011
1	Exp1	9	a	6	1590
1	Exp1	13	a	6	2372
1	Exp1	1	a	6	737
1	Exp1	5	a	6	759
1	Exp1	13	a	6	3466
10	Exp1	12	a	6	3542
10	Exp1	16	a	6	1999
10	Exp1	16	a	6	2728
10	Exp1	8	a	6	1929
10	Exp1	8	a	6	11130
10	Exp1	4	a	6	3307
10	Exp1	4	a	6	2908
10	Exp1	12	a	7	652
11	Exp1	15	a	6	1289
11	Exp1	11	a	6	3806
11	Exp1	7	a	6	1285
11	Exp1	3	a	6	4679
11	Exp1	7	a	6	2473
11	Exp1	11	a	6	5662
11	Exp1	15	a	6	2061
11	Exp1	3	a	6	2104
12	Exp1	10	a	6	1545
12	Exp1	2	a	6	712
12	Exp1	14	a	6	794
12	Exp1	6	a	6	2723
12	Exp1	2	a	6	1692
12	Exp1	14	a	6	1148
12	Exp1	10	a	6	3493
12	Exp1	6	a	6	724
13	Exp1	5	a	6	9667
13	Exp1	1	a	6	1156
13	Exp1	1	a	6	868
13	Exp1	13	a	6	1228
13	Exp1	13	a	6	786
13	Exp1	9	a	6	567
13	Exp1	5	a	6	1032
13	Exp1	9	a	6	1630
14	Exp1	12	a	6	4590
14	Exp1	16	a	6	1934
14	Exp1	4	a	6	3476
14	Exp1	4	a	7	2197
14	Exp1	12	a	6	2088
14	Exp1	8	a	6	2824
14	Exp1	8	a	6	4154
14	Exp1	16	a	6	2258
15	Exp1	3	a	6	1352
15	Exp1	7	a	6	926
15	Exp1	11	a	6	2076
15	Exp1	15	a	6	916
15	Exp1	15	a	6	1444
15	Exp1	11	a	6	1361
15	Exp1	7	a	6	2465
15	Exp1	3	a	6	1838
16	Exp1	2	a	6	2728
16	Exp1	6	a	6	6478
16	Exp1	14	a	6	3366
16	Exp1	10	a	6	825
16	Exp1	6	a	6	1879
16	Exp1	10	a	6	4625
16	Exp1	2	a	6	2246
16	Exp1	14	a	6	953
17	Exp1	5	a	6	3561
17	Exp1	9	a	6	3421
17	Exp1	9	a	6	1601
17	Exp1	5	a	6	2637
17	Exp1	1	a	6	2766
17	Exp1	13	a	6	1401
17	Exp1	1	a	6	2394
17	Exp1	13	a	6	1785
18	Exp1	16	a	6	1142
18	Exp1	12	a	6	911
18	Exp1	8	a	6	978
18	Exp1	4	a	6	599
18	Exp1	8	a	6	1012
18	Exp1	16	a	6	805
18	Exp1	4	a	6	3462
18	Exp1	12	a	7	498
19	Exp1	7	a	6	1172
19	Exp1	11	a	6	1274
19	Exp1	11	a	6	1050
19	Exp1	7	a	6	1967
19	Exp1	15	a	6	1145
19	Exp1	3	a	6	1629
19	Exp1	15	a	6	1662
19	Exp1	3	a	6	2197
2	Exp1	8	a	6	26403
2	Exp1	16	a	6	2118
2	Exp1	12	a	6	1523
2	Exp1	4	a	6	1944
2	Exp1	12	a	6	3551
2	Exp1	4	a	6	1225
2	Exp1	8	a	6	1802
2	Exp1	16	a	6	2324
20	Exp1	2	a	6	1948
20	Exp1	14	a	6	3064
20	Exp1	10	a	6	2864
20	Exp1	6	a	6	4986
20	Exp1	2	a	6	1957
20	Exp1	14	a	6	8161
20	Exp1	6	a	6	1880
20	Exp1	10	a	6	1813
21	Exp1	13	a	6	1467
21	Exp1	9	a	6	1144
21	Exp1	5	a	6	6089
21	Exp1	5	a	6	4269
21	Exp1	9	a	6	976
21	Exp1	1	a	7	905
21	Exp1	13	a	6	1086
21	Exp1	1	a	6	1003
22	Exp1	16	a	6	670
22	Exp1	12	a	6	1602
22	Exp1	4	a	6	2230
22	Exp1	8	a	6	662
22	Exp1	12	a	6	2069
22	Exp1	16	a	6	1146
22	Exp1	4	a	7	1436
22	Exp1	8	a	6	1156
23	Exp1	11	a	6	1302
23	Exp1	7	a	6	5175
23	Exp1	11	a	6	1049
23	Exp1	15	a	6	1179
23	Exp1	3	a	6	1691
23	Exp1	15	a	6	964
23	Exp1	3	a	6	1819
23	Exp1	7	a	6	1939
24	Exp1	10	a	6	3802
24	Exp1	10	a	6	2248
24	Exp1	14	a	6	1459
24	Exp1	2	a	6	1527
24	Exp1	6	a	6	1840
24	Exp1	6	a	6	1006
24	Exp1	14	a	6	3142
24	Exp1	2	a	6	1904
25	Exp1	9	a	6	1854
25	Exp1	5	a	6	1578
25	Exp1	13	a	6	2010
25	Exp1	13	a	6	2080
25	Exp1	1	a	6	1404
25	Exp1	5	a	6	1292
25	Exp1	9	a	6	1323
25	Exp1	1	a	6	893
26	Exp1	16	a	6	2770
26	Exp1	12	a	6	812
26	Exp1	8	a	6	936
26	Exp1	8	a	6	998
26	Exp1	4	a	6	4162
26	Exp1	12	a	6	1825
26	Exp1	4	a	6	866
26	Exp1	16	a	6	3120
27	Exp1	3	a	6	1366
27	Exp1	11	a	6	1111
27	Exp1	7	a	6	1085
27	Exp1	3	a	7	2449
27	Exp1	11	a	7	927
27	Exp1	7	a	6	744
27	Exp1	15	a	6	1850
27	Exp1	15	a	6	2261
28	Exp1	14	a	7	2008
28	Exp1	6	a	6	1342
28	Exp1	10	a	6	1047
28	Exp1	10	a	6	1426
28	Exp1	14	a	6	1314
28	Exp1	2	a	6	2557
28	Exp1	6	a	6	1142
28	Exp1	2	a	6	1957
29	Exp1	1	a	6	369
29	Exp1	1	a	6	913
29	Exp1	9	a	6	387
29	Exp1	5	a	6	4521
29	Exp1	13	a	6	719
29	Exp1	13	a	7	2559
29	Exp1	9	a	6	507
29	Exp1	5	a	6	382
3	Exp1	7	a	7	650
3	Exp1	15	a	6	1460
3	Exp1	7	a	6	1789
3	Exp1	11	a	6	1490
3	Exp1	11	a	7	1299
3	Exp1	15	a	6	2725
3	Exp1	3	a	6	1254
3	Exp1	3	a	6	2018
30	Exp1	4	a	6	1117
30	Exp1	16	a	6	1031
30	Exp1	12	a	6	1204
30	Exp1	16	a	6	1133
30	Exp1	8	a	6	1414
30	Exp1	8	a	6	952
30	Exp1	12	a	6	1127
30	Exp1	4	a	6	826
31	Exp1	7	a	6	582
31	Exp1	7	a	6	947
31	Exp1	3	a	6	3759
31	Exp1	15	a	6	2072
31	Exp1	15	a	6	779
31	Exp1	11	a	7	931
31	Exp1	11	a	6	854
31	Exp1	3	a	6	718
32	Exp1	6	a	6	1628
32	Exp1	14	a	6	2032
32	Exp1	10	a	6	1391
32	Exp1	6	a	6	1468
32	Exp1	2	a	7	1565
32	Exp1	2	a	6	1355
32	Exp1	14	a	6	1407
32	Exp1	10	a	6	1287
33	Exp1	5	a	6	5653
33	Exp1	9	a	6	2076
33	Exp1	13	a	6	1592
33	Exp1	1	a	6	2451
33	Exp1	9	a	6	2081
33	Exp1	5	a	6	1326
33	Exp1	13	a	6	1719
33	Exp1	1	a	6	5561
34	Exp1	16	a	6	2026
34	Exp1	8	a	6	3394
34	Exp1	16	a	6	4811
34	Exp1	4	a	6	2128
34	Exp1	12	a	7	2127
34	Exp1	12	a	6	1697
34	Exp1	4	a	6	2155
34	Exp1	8	a	6	1911
35	Exp1	15	a	6	7003
35	Exp1	15	a	6	2937
35	Exp1	11	a	6	1172
35	Exp1	7	a	6	796
35	Exp1	11	a	6	965
35	Exp1	3	a	6	1081
35	Exp1	7	a	6	1091
35	Exp1	3	a	6	798
36	Exp1	10	a	6	1283
36	Exp1	2	a	6	987
36	Exp1	2	a	6	1734
36	Exp1	10	a	6	668
36	Exp1	14	a	6	3667
36	Exp1	6	a	6	3207
36	Exp1	6	a	6	3160
36	Exp1	14	a	6	1804
37	Exp1	5	a	6	1888
37	Exp1	1	a	6	1460
37	Exp1	13	a	5	1168
37	Exp1	13	a	5	2973
37	Exp1	1	a	5	1686
37	Exp1	9	a	5	2296
37	Exp1	9	a	5	1765
37	Exp1	5	a	5	2177
38	Exp1	8	a	5	6771
38	Exp1	12	a	5	988
38	Exp1	4	a	5	1516
38	Exp1	16	a	5	1321
38	Exp1	16	a	5	4102
38	Exp1	12	a	5	825
38	Exp1	4	a	5	3183
38	Exp1	8	a	5	3352
39	Exp1	3	a	5	1466
39	Exp1	11	a	5	2596
39	Exp1	11	a	5	7267
39	Exp1	7	a	5	772
39	Exp1	15	a	5	634
39	Exp1	3	a	5	1902
39	Exp1	15	a	5	787
39	Exp1	7	a	5	669
4	Exp1	2	a	5	1085
4	Exp1	14	a	5	2483
4	Exp1	6	a	5	1379
4	Exp1	10	a	5	841
4	Exp1	6	a	7	1670
4	Exp1	10	a	6	2852
4	Exp1	14	a	6	873
4	Exp1	2	a	6	3261
40	Exp1	10	a	6	755
40	Exp1	6	a	6	779
40	Exp1	10	a	6	763
40	Exp1	6	a	6	621
40	Exp1	2	a	7	1212
40	Exp1	14	a	6	1495
40	Exp1	14	a	6	957
40	Exp1	2	a	6	1060
41	Exp1	9	a	7	1544
41	Exp1	1	a	6	1353
41	Exp1	13	a	6	1328
41	Exp1	1	a	6	2321
41	Exp1	5	a	6	2623
41	Exp1	13	a	7	2187
41	Exp1	9	a	6	4681
41	Exp1	5	a	6	4709
42	Exp1	12	a	6	1621
42	Exp1	16	a	6	1417
42	Exp1	4	a	7	2105
42	Exp1	8	a	6	2201
42	Exp1	8	a	6	1810
42	Exp1	4	a	6	1959
42	Exp1	12	a	7	1766
42	Exp1	16	a	6	1666
43	Exp1	15	a	6	2131
43	Exp1	3	a	6	5866
43	Exp1	3	a	6	1241
43	Exp1	7	a	6	1260
43	Exp1	11	a	6	698
43	Exp1	15	a	6	818
43	Exp1	7	a	6	538
43	Exp1	11	a	6	612
44	Exp1	10	a	6	1583
44	Exp1	2	a	7	1245
44	Exp1	6	a	7	1130
44	Exp1	14	a	7	922
44	Exp1	2	a	6	2265
44	Exp1	6	a	7	1674
44	Exp1	10	a	6	1470
44	Exp1	14	a	6	512
5	Exp1	1	a	6	1580
5	Exp1	9	a	6	2407
5	Exp1	5	a	6	725
5	Exp1	9	a	6	518
5	Exp1	5	a	6	479
5	Exp1	13	a	6	1535
5	Exp1	13	a	6	499
5	Exp1	1	a	6	952
6	Exp1	4	a	6	5594
6	Exp1	8	a	7	3758
6	Exp1	16	a	6	7340
6	Exp1	4	a	6	2089
6	Exp1	12	a	6	2774
6	Exp1	12	a	6	1878
6	Exp1	8	a	6	4390
6	Exp1	16	a	6	1842
7	Exp1	7	a	6	10588
7	Exp1	11	a	6	9374
7	Exp1	11	a	6	1266
7	Exp1	15	a	6	2055
7	Exp1	3	a	6	5631
7	Exp1	3	a	6	4945
7	Exp1	7	a	6	1919
7	Exp1	15	a	6	12474
8	Exp1	2	a	6	2153
