Subject,Item,Condition,ReactionTime,Accuracy,Cloze,Assoc
S06,I001,A,1190,1,0.75,5.0
S06,I001,A,1190,1,0.75,5.0
S06,I001,A,1190,1,0.75,5.0
S06,I001,A,1190,1,0.75,5.0
S06,I001,A,1190,1,0.75,5.0
S08,I001,A,1668,1,0.75,5.0
S08,I001,A,1668,1,0.75,5.0
S08,I001,A,1668,1,0.75,5.0
S08,I001,A,1668,1,0.75,5.0
S08,I001,A,1668,1,0.75,5.0
S12,I001,A,3049,1,0.75,5.0
S12,I001,A,3049,1,0.75,5.0
S12,I001,A,3049,1,0.75,5.0
S12,I001,A,3049,1,0.75,5.0
S12,I001,A,3049,1,0.75,5.0
S17,I001,A,728,0,0.75,5.0
S17,I001,A,728,0,0.75,5.0
S17,I001,A,728,0,0.75,5.0
S17,I001,A,728,0,0.75,5.0
S17,I001,A,728,0,0.75,5.0
S18,I001,A,793,1,0.75,5.0
S18,I001,A,793,1,0.75,5.0
S18,I001,A,793,1,0.75,5.0
S18,I001,A,793,1,0.75,5.0
S18,I001,A,793,1,0.75,5.0
S20,I001,A,1383,1,0.75,5.0
S20,I001,A,1383,1,0.75,5.0
S20,I001,A,1383,1,0.75,5.0
S20,I001,A,1383,1,0.75,5.0
S20,I001,A,1383,1,0.75,5.0
S23,I001,A,950,1,0.75,5.0
S23,I001,A,950,1,0.75,5.0
S23,I001,A,950,1,0.75,5.0
S23,I001,A,950,1,0.75,5.0
S23,I001,A,950,1,0.75,5.0
S27,I001,A,762,1,0.75,5.0
S27,I001,A,762,1,0.75,5.0
S27,I001,A,762,1,0.75,5.0
S27,I001,A,762,1,0.75,5.0
S27,I001,A,762,1,0.75,5.0
S34,I001,A,743,1,0.75,5.0
S34,I001,A,743,1,0.75,5.0
S34,I001,A,743,1,0.75,5.0
S34,I001,A,743,1,0.75,5.0
S34,I001,A,743,1,0.75,5.0
S37,I001,A,1080,1,0.75,5.0
S37,I001,A,1080,1,0.75,5.0
S37,I001,A,1080,1,0.75,5.0
S37,I001,A,1080,1,0.75,5.0
S37,I001,A,1080,1,0.75,5.0
S39,I001,A,888,1,0.75,5.0
S39,I001,A,888,1,0.75,5.0
S39,I001,A,888,1,0.75,5.0
S39,I001,A,888,1,0.75,5.0
S48,I001,A,740,1,0.75,5.0
S48,I001,A,740,1,0.75,5.0
S48,I001,A,740,1,0.75,5.0
S48,I001,A,740,1,0.75,5.0
S48,I001,A,740,1,0.75,5.0
S01,I001,B,590,1,0.67,2.15
S01,I001,B,590,1,0.67,2.15
S01,I001,B,590,1,0.67,2.15
S01,I001,B,590,1,0.67,2.15
S01,I001,B,590,1,0.67,2.15
S10,I001,B,569,1,0.67,2.15
S10,I001,B,569,1,0.67,2.15
S10,I001,B,569,1,0.67,2.15
S10,I001,B,569,1,0.67,2.15
S11,I001,B,530,1,0.67,2.15
S11,I001,B,530,1,0.67,2.15
S11,I001,B,530,1,0.67,2.15
S11,I001,B,530,1,0.67,2.15
S11,I001,B,530,1,0.67,2.15
S16,I001,B,540,1,0.67,2.15
S16,I001,B,540,1,0.67,2.15
S16,I001,B,540,1,0.67,2.15
S16,I001,B,540,1,0.67,2.15
S16,I001,B,540,1,0.67,2.15
S22,I001,B,763,1,0.67,2.15
S22,I001,B,763,1,0.67,2.15
S22,I001,B,763,1,0.67,2.15
S22,I001,B,763,1,0.67,2.15
S22,I001,B,763,1,0.67,2.15
S25,I001,B,863,1,0.67,2.15
S25,I001,B,863,1,0.67,2.15
S25,I001,B,863,1,0.67,2.15
S25,I001,B,863,1,0.67,2.15
S25,I001,B,863,1,0.67,2.15
S29,I001,B,782,1,0.67,2.15
S29,I001,B,782,1,0.67,2.15
S29,I001,B,782,1,0.67,2.15
S29,I001,B,782,1,0.67,2.15
S29,I001,B,782,1,0.67,2.15
S36,I001,B,699,1,0.67,2.15
S36,I001,B,699,1,0.67,2.15
S36,I001,B,699,1,0.67,2.15
S36,I001,B,699,1,0.67,2.15
S36,I001,B,699,1,0.67,2.15
S38,I001,B,1077,1,0.67,2.15
S38,I001,B,1077,1,0.67,2.15
S38,I001,B,1077,1,0.67,2.15
S38,I001,B,1077,1,0.67,2.15
S38,I001,B,1077,1,0.67,2.15
S44,I001,B,4461,1,0.67,2.15
S44,I001,B,4461,1,0.67,2.15
S44,I001,B,4461,1,0.67,2.15
S44,I001,B,4461,1,0.67,2.15
S44,I001,B,4461,1,0.67,2.15
S45,I001,B,788,1,0.67,2.15
S45,I001,B,788,1,0.67,2.15
S45,I001,B,788,1,0.67,2.15
S45,I001,B,788,1,0.67,2.15
S45,I001,B,788,1,0.67,2.15
S52,I001,B,1351,1,0.67,2.15
S52,I001,B,1351,1,0.67,2.15
S52,I001,B,1351,1,0.67,2.15
S52,I001,B,1351,1,0.67,2.15
S52,I001,B,1351,1,0.67,2.15
S05,I001,C,585,1,0.0,5.0
S05,I001,C,585,1,0.0,5.0
S05,I001,C,585,1,0.0,5.0
S05,I001,C,585,1,0.0,5.0
S05,I001,C,585,1,0.0,5.0
S09,I001,C,535,0,0.0,5.0
S09,I001,C,535,0,0.0,5.0
S09,I001,C,535,0,0.0,5.0
S09,I001,C,535,0,0.0,5.0
S09,I001,C,535,0,0.0,5.0
S14,I001,C,861,1,0.0,5.0
S14,I001,C,861,1,0.0,5.0
S14,I001,C,861,1,0.0,5.0
S14,I001,C,861,1,0.0,5.0
S14,I001,C,861,1,0.0,5.0
S21,I001,C,974,1,0.0,5.0
S21,I001,C,974,1,0.0,5.0
S21,I001,C,974,1,0.0,5.0
S21,I001,C,974,1,0.0,5.0
S21,I001,C,974,1,0.0,5.0
S24,I001,C,676,1,0.0,5.0
S24,I001,C,676,1,0.0,5.0
S24,I001,C,676,1,0.0,5.0
S24,I001,C,676,1,0.0,5.0
S24,I001,C,676,1,0.0,5.0
S26,I001,C,791,0,0.0,5.0
S26,I001,C,791,0,0.0,5.0
S26,I001,C,791,0,0.0,5.0
S26,I001,C,791,0,0.0,5.0
S26,I001,C,791,0,0.0,5.0
S30,I001,C,663,1,0.0,5.0
S30,I001,C,663,1,0.0,5.0
S30,I001,C,663,1,0.0,5.0
S30,I001,C,663,1,0.0,5.0
S30,I001,C,663,1,0.0,5.0
S32,I001,C,668,1,0.0,5.0
S32,I001,C,668,1,0.0,5.0
S32,I001,C,668,1,0.0,5.0
S32,I001,C,668,1,0.0,5.0
S32,I001,C,668,1,0.0,5.0
S41,I001,C,3007,1,0.0,5.0
S41,I001,C,3007,1,0.0,5.0
S41,I001,C,3007,1,0.0,5.0
S41,I001,C,3007,1,0.0,5.0
S41,I001,C,3007,1,0.0,5.0
S43,I001,C,603,1,0.0,5.0
S43,I001,C,603,1,0.0,5.0
S43,I001,C,603,1,0.0,5.0
S43,I001,C,603,1,0.0,5.0
S43,I001,C,603,1,0.0,5.0
S47,I001,C,870,1,0.0,5.0
S47,I001,C,870,1,0.0,5.0
S47,I001,C,870,1,0.0,5.0
S47,I001,C,870,1,0.0,5.0
S55,I001,C,720,1,0.0,5.0
S55,I001,C,720,1,0.0,5.0
S55,I001,C,720,1,0.0,5.0
S55,I001,C,720,1,0.0,5.0
S55,I001,C,720,1,0.0,5.0
S02,I001,D,651,1,0.0,2.15
S02,I001,D,651,1,0.0,2.15
S02,I001,D,651,1,0.0,2.15
S02,I001,D,651,1,0.0,2.15
S02,I001,D,651,1,0.0,2.15
S03,I001,D,2105,0,0.0,2.15
S03,I001,D,2105,0,0.0,2.15
S03,I001,D,2105,0,0.0,2.15
S03,I001,D,2105,0,0.0,2.15
S03,I001,D,2105,0,0.0,2.15
S04,I001,D,1950,1,0.0,2.15
S04,I001,D,1950,1,0.0,2.15
S04,I001,D,1950,1,0.0,2.15
S04,I001,D,1950,1,0.0,2.15
S04,I001,D,1950,1,0.0,2.15
