participant,age,grade,group,sminch,z.ph.d,z.lex.d,z.ps.rep,z.f.sound,z.sound.det,z.num.sound,z.sound.chan,item.id,word.id,word.serial.no,number.morphemes,POS,ambig,base.form,rel.position,word.length,prev.length,next.length,frequency,ao,task_need,ACCURACY,IA_FIXATION_COUNT,IA_SKIP,IA_REGRESSION_IN,IA_REGRESSION_OUT,IA_FIRST_FIXATION_DURATION,IA_FIRST_RUN_DWELL_TIME,IA_DWELL_TIME,IA_FIRST_FIXATION_X,IA_RIGHT,IA_LEFT,IA_FIRST_RUN_FIXATION_COUNT,IA_SECOND_RUN_DWELL_TIME,IA_REGRESSION_PATH_DURATION,landing
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,девочка,1,3,NOUN,0,1,0.111,7,0,5,6.02990722,5.675999999999999,FALSE,-1,5,1,0,0,89,1325,1325,193.5,299,120,5,.,424,0.39937106918238996
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,никак,2,2,PRONOUN,1,1,0.2222222222,5,7,2,3.29722669,NA,FALSE,-1,4,0,0,1,137,137,839,315.6,420,299,1,702,2164,0.06534653465346557
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,не,3,1,FUNCTION,1,1,0.3333333333,2,5,5,343.48997605,2.7059999999999995,FALSE,-1,1,0,0,0,170,170,170,452,478,420,1,.,170,0.5789473684210527
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,могла,4,3,VERB,0,0,0.4444444444,5,2,6,2.78116915,3.564,FALSE,-1,2,0,0,0,187,389,389,506.6,599,478,2,.,389,0.18415841584158438
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,вынуть,5,4,VERB,0,1,0.5555555556,6,5,7,0.08312336,3.2009999999999996,FALSE,-1,5,0,0,0,185,1111,1111,632.1,739,599,5,.,1111,0.1925000000000002
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,соринку,6,3,NOUN,0,0,0.6666666667,7,6,8,1e-4,2.343,FALSE,-1,5,0,0,0,122,1369,1369,742.7,917,739,5,.,1369,-0.0398734177215187
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,попавшую,7,4,ADJ,0,0,0.7777777778,8,7,1,0.01731737,2.904,FALSE,-1,4,0,0,0,180,930,930,956.1,1100,917,4,.,930,0.17852760736196333
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,в,8,1,FUNCTION,1,1,0.8888888889,1,8,4,376.07433395,1.518,FALSE,-1,2,0,0,0,240,411,411,1101.4,1140,1100,2,.,411,-0.42999999999999544
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,29,глаз,9,2,NOUN,1,0,0.99999,4,1,0,4.02801958,3.069,FALSE,-1,3,0,0,1,197,815,815,1180,1271,1140,3,.,1303,0.2702702702702703
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,в,1,1,FUNCTION,0,1,0.111,1,0,4,376.07433395,NA,FALSE,-1,0,1,.,.,.,NA,0,NA,178,120,.,.,.,NA
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,доме,2,2,NOUN,0,0,0.2222222222,4,1,7,2.64955716,8.811,FALSE,-1,5,1,0,0,254,254,1508,216.6,278,178,1,1254,427,0.35749999999999993
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,лесника,3,4,NOUN,1,0,0.3333333333,7,4,8,0.05541557,NA,FALSE,-1,5,0,0,1,119,119,1734,373.3,438,278,1,1615,3242,0.6092857142857143
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,охотники,4,3,NOUN,0,0,0.4444444444,8,7,5,0.51952101,4.455,FALSE,-1,5,0,0,0,287,1321,1321,499.8,618,438,5,.,1321,0.3237500000000001
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,нашли,5,3,VERB,0,0,0.5555555556,5,8,5,1.63475945,1.287,FALSE,-1,3,0,0,0,581,1147,1147,619.8,738,618,3,.,1147,-0.08200000000000046
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,крупу,6,2,NOUN,1,0,0.6666666667,5,5,6,0.0519521,4.3229999999999995,FALSE,-1,3,0,0,0,278,810,810,781.7,875,738,3,.,810,0.2880341880341884
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,сухари,7,3,NOUN,1,0,0.7777777778,6,5,1,0.08312336,2.772,FALSE,-1,3,0,0,0,152,735,735,903.7,1018,875,3,.,735,0.15203252032520362
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,и,8,1,FUNCTION,1,1,0.8888888889,1,6,6,667.73689381,2.4419999999999997,FALSE,-1,1,0,0,0,405,405,405,1021.5,1058,1018,1,.,405,-0.325
1_norm1,9,3,norm,66,0.97,1,0.87,0.87,0.87,1,0.79,24,спички,9,2,NOUN,1,0,0.99999,6,1,0,0.32210303,2.574,FALSE,-1,7,0,0,1,193,1721,1721,1068,1230,1058,7,.,2148,0
