urevent,role,group,Subject,meanamplitude,interval,area,MMN
16,dev1,CH,1,3.706573248,1,F,0
23,standard,CH,1,-0.525663316,1,F,0
24,dev1,CH,1,-3.251352072,1,F,-2.725688756
27,standard,CH,1,0.298721969,1,F,0
28,dev1,CH,1,-5.851541519,1,F,-6.150263488
35,standard,CH,1,6.42976284,1,F,0
36,dev1,CH,1,3.767944336,1,F,-2.661818504
43,standard,CH,1,-8.830900192,1,F,0
44,dev1,CH,1,5.340981483,1,F,14.17188168
47,standard,CH,1,-1.812229633,1,F,0
48,dev1,CH,1,-5.947236061,1,F,-4.135006428
51,standard,CH,1,2.729047537,1,F,0
52,dev1,CH,1,1.445859313,1,F,-1.283188224
57,standard,CH,1,-1.711435437,1,F,0
58,dev1,CH,1,-3.365970373,1,F,-1.654534936
63,standard,CH,1,-0.19695887,1,F,0
64,dev1,CH,1,-1.433993697,1,F,-1.237034827
73,standard,CH,1,-2.737598658,1,F,0
74,dev1,CH,1,-7.509046078,1,F,-4.77144742
79,standard,CH,1,7.921936512,1,F,0
80,dev1,CH,1,-2.927398205,1,F,-10.84933472
83,standard,CH,1,-2.41748023,1,F,0
84,dev1,CH,1,-7.687116146,1,F,-5.269635916
87,standard,CH,1,3.003124237,1,F,0
88,dev1,CH,1,6.165717125,1,F,3.162592888
97,standard,CH,1,7.515213013,1,F,0
98,dev1,CH,1,0.988170922,1,F,-6.527042091
103,standard,CH,1,-7.71835804,1,F,0
104,dev1,CH,1,-1.928523183,1,F,5.789834857
109,standard,CH,1,2.148764133,1,F,0
110,dev1,CH,1,10.08100319,1,F,7.932239057
119,standard,CH,1,3.719367743,1,F,0
120,dev1,CH,1,2.547907352,1,F,-1.171460391
127,standard,CH,1,1.192773223,1,F,0
128,dev1,CH,1,-1.432267547,1,F,-2.62504077
131,standard,CH,1,3.45545435,1,F,0
132,dev1,CH,1,6.752015114,1,F,3.296560764
139,standard,CH,1,0.624491155,1,F,0
140,dev1,CH,1,3.35201025,1,F,2.727519095
145,standard,CH,1,0.787378609,1,F,0
146,dev1,CH,1,3.241817474,1,F,2.454438865
150,dev1,CH,1,5.969446182,1,F,0
153,standard,CH,1,3.086413145,1,F,0
154,dev1,CH,1,-3.247816324,1,F,-6.334229469
159,standard,CH,1,0.406047612,1,F,0
160,dev1,CH,1,1.728817463,1,F,1.322769851
167,standard,CH,1,-12.86207104,1,F,0
168,dev1,CH,1,4.966492176,1,F,17.82856322
171,standard,CH,1,-1.662306428,1,F,0
172,dev1,CH,1,-1.35750258,1,F,0.304803848
177,standard,CH,1,11.03991222,1,F,0
178,dev1,CH,1,-8.44222641,1,F,-19.48213863
183,standard,CH,1,-1.706061482,1,F,0
184,dev1,CH,1,5.73386097,1,F,7.439922452
189,standard,CH,1,-2.362429619,1,F,0
190,dev1,CH,1,0.967474282,1,F,3.329903901
195,standard,CH,1,4.7422719,1,F,0
196,dev1,CH,1,-4.277229786,1,F,-9.019501686
205,standard,CH,1,10.96003342,1,F,0
206,dev1,CH,1,-2.255049944,1,F,-13.21508336
211,standard,CH,1,-4.968944073,1,F,0
212,dev1,CH,1,-1.515822291,1,F,3.453121782
215,standard,CH,1,2.425177574,1,F,0
216,dev1,CH,1,0.134235486,1,F,-2.290942088
219,standard,CH,1,0.570308208,1,F,0
220,dev1,CH,1,-5.904833317,1,F,-6.475141525
229,standard,CH,1,-7.629421711,1,F,0
230,dev1,CH,1,-12.04274654,1,F,-4.413324829
235,standard,CH,1,3.78706193,1,F,0
236,dev1,CH,1,-0.599518359,1,F,-4.386580289
239,standard,CH,1,3.002209663,1,F,0
240,dev1,CH,1,5.578868389,1,F,2.576658726
243,standard,CH,1,-6.939172745,1,F,0
244,dev1,CH,1,-7.943091393,1,F,-1.003918648
249,standard,CH,1,-0.174311712,1,F,0
250,dev1,CH,1,-3.864434958,1,F,-3.690123246
261,standard,CH,1,2.747796774,1,F,0
262,dev1,CH,1,-8.356840134,1,F,-11.10463691
271,standard,CH,1,-5.266518116,1,F,0
272,dev1,CH,1,7.934921741,1,F,13.20143986
277,standard,CH,1,5.689131737,1,F,0
278,dev1,CH,1,2.64432168,1,F,-3.044810057
282,dev1,CH,1,-6.101256371,1,F,0
307,standard,CH,1,1.623696089,1,F,0
308,dev1,CH,1,2.781075716,1,F,1.157379627
311,standard,CH,1,-1.407393336,1,F,0
312,dev1,CH,1,-3.583521843,1,F,-2.176128507
324,dev1,CH,1,-1.237215877,1,F,0
327,standard,CH,1,-6.378608704,1,F,0
328,dev1,CH,1,3.331962824,1,F,9.710571528
333,standard,CH,1,3.237704277,1,F,0
334,dev1,CH,1,4.504298687,1,F,1.26659441
339,standard,CH,1,3.627509594,1,F,0
340,dev1,CH,1,0.994911611,1,F,-2.632597983
349,standard,CH,1,-8.533946991,1,F,0
350,dev1,CH,1,3.435462952,1,F,11.96940994
355,standard,CH,1,-6.089294434,1,F,0
356,dev1,CH,1,1.687766194,1,F,7.777060628
359,standard,CH,1,-1.525720716,1,F,0
360,dev1,CH,1,-2.856385708,1,F,-1.330664992
363,standard,CH,1,2.925951481,1,F,0
364,dev1,CH,1,1.046143651,1,F,-1.87980783
369,standard,CH,1,6.038440228,1,F,0
370,dev1,CH,1,5.597121239,1,F,-0.441318989
375,standard,CH,1,-3.181909323,1,F,0
376,dev1,CH,1,6.215378761,1,F,9.397288084
385,standard,CH,1,4.752585888,1,F,0
386,dev1,CH,1,3.253174305,1,F,-1.499411583
391,standard,CH,1,-9.639107704,1,F,0
392,dev1,CH,1,0.55665803,1,F,10.19576573
395,standard,CH,1,-5.28744936,1,F,0
396,dev1,CH,1,-0.947231293,1,F,4.340218067
403,standard,CH,1,11.59720898,1,F,0
404,dev1,CH,1,7.106679916,1,F,-4.490529064
408,dev1,CH,1,-6.889975548,1,F,0
411,standard,CH,1,2.02944541,1,F,0
412,dev1,CH,1,1.733752012,1,F,-0.295693398
417,standard,CH,1,1.015288472,1,F,0
418,dev1,CH,1,5.934746265,1,F,4.919457793
423,standard,CH,1,-3.785616398,1,F,0
424,dev1,CH,1,-3.842342615,1,F,-0.056726217
434,dev1,CH,1,3.53702879,1,F,0
437,standard,CH,1,0.636285365,1,F,0
438,dev1,CH,1,-1.764996886,1,F,-2.401282251
445,standard,CH,1,0.112256601,1,F,0
446,dev1,CH,1,2.443208694,1,F,2.330952093
449,standard,CH,1,-2.119628429,1,F,0
450,dev1,CH,1,6.156761646,1,F,8.276390075
457,standard,CH,1,-0.835086823,1,F,0
458,dev1,CH,1,-2.911134243,1,F,-2.07604742
463,standard,CH,1,5.965415001,1,F,0
464,dev1,CH,1,3.360295773,1,F,-2.605119228
469,standard,CH,1,-2.038142204,1,F,0
470,dev1,CH,1,-0.273965508,1,F,1.764176696
475,standard,CH,1,-0.159797639,1,F,0
476,dev1,CH,1,6.067645073,1,F,6.227442712
481,standard,CH,1,4.581009865,1,F,0
482,dev1,CH,1,1.281062365,1,F,-3.2999475
495,standard,CH,1,12.70426559,1,F,0
496,dev1,CH,1,-6.153009892,1,F,-18.85727548
505,standard,CH,1,7.68118,1,F,0
506,dev1,CH,1,-2.065128088,1,F,-9.746308088
511,standard,CH,1,-1.434965372,1,F,0
512,dev1,CH,1,4.575767994,1,F,6.010733366
517,standard,CH,1,-6.138463497,1,F,0
518,dev1,CH,1,1.858500838,1,F,7.996964335
521,standard,CH,1,-1.098587513,1,F,0
522,dev1,CH,1,-2.565050364,1,F,-1.466462851
525,standard,CH,1,2.940847635,1,F,0
526,dev1,CH,1,-2.811946392,1,F,-5.752794027
535,standard,CH,1,-2.095364332,1,F,0
536,dev1,CH,1,1.116927981,1,F,3.212292313
539,standard,CH,1,-5.729986191,1,F,0
540,dev1,CH,1,-3.602748871,1,F,2.12723732
543,standard,CH,1,7.591644764,1,F,0
544,dev1,CH,1,7.793645382,1,F,0.202000618
553,standard,CH,1,-2.078992367,1,F,0
554,dev1,CH,1,0.256376892,1,F,2.335369259
559,standard,CH,1,-0.902101099,1,F,0
560,dev1,CH,1,-11.74569321,1,F,-10.84359211
565,standard,CH,1,-4.30521822,1,F,0
566,dev1,CH,1,-2.35178256,1,F,1.95343566
571,standard,CH,1,-2.245192051,1,F,0
572,dev1,CH,1,-2.520393372,1,F,-0.275201321
575,standard,CH,1,-4.041301727,1,F,0
576,dev1,CH,1,1.765043736,1,F,5.806345463
579,standard,CH,1,7.139559269,1,F,0
580,dev1,CH,1,4.861495972,1,F,-2.278063297
585,standard,CH,1,5.135714054,1,F,0
586,dev1,CH,1,0.662838876,1,F,-4.472875178
591,standard,CH,1,-0.026576098,1,F,0
592,dev1,CH,1,-0.60292691,1,F,-0.576350812
597,standard,CH,1,12.26272964,1,F,0
598,dev1,CH,1,-2.747469187,1,F,-15.01019883
605,standard,CH,1,1.659793615,1,F,0
606,dev1,CH,1,2.262264252,1,F,0.602470637
613,standard,CH,1,-2.17201519,1,F,0
614,dev1,CH,1,-2.085176945,1,F,0.086838245
619,standard,CH,1,-5.985760689,1,F,0
620,dev1,CH,1,8.177375793,1,F,14.16313648
625,standard,CH,1,-3.401070595,1,F,0
626,dev1,CH,1,1.994423032,1,F,5.395493627
629,standard,CH,1,0.78545475,1,F,0
630,dev1,CH,1,-1.98777771,1,F,-2.77323246
637,standard,CH,1,0.9106704,1,F,0
638,dev1,CH,1,2.610747099,1,F,1.700076699
641,standard,CH,1,-2.519217253,1,F,0
642,dev1,CH,1,-2.310014248,1,F,0.209203005
645,standard,CH,1,4.255937576,1,F,0
646,dev1,CH,1,0.000239161,1,F,-4.255698415
654,dev1,CH,1,7.707602978,1,F,0
673,standard,CH,1,0.910303533,1,F,0
674,dev1,CH,1,-4.244094372,1,F,-5.154397905
677,standard,CH,1,-3.278967381,1,F,0
678,dev1,CH,1,-5.9601717,1,F,-2.681204319
681,standard,CH,1,-5.306320667,1,F,0
682,dev1,CH,1,8.649376869,1,F,13.95569754
687,standard,CH,1,-9.199015617,1,F,0
688,dev1,CH,1,1.63082552,1,F,10.82984114
715,standard,CH,1,2.982859373,1,F,0
716,dev1,CH,1,-6.345827579,1,F,-9.328686952
731,standard,CH,1,-0.455768049,1,F,0
732,dev1,CH,1,4.815637112,1,F,5.271405161
753,standard,CH,2,-0.127074972,1,F,0
754,dev1,CH,2,8.944158554,1,F,9.071233526
757,standard,CH,2,12.96724892,1,F,0
758,dev1,CH,2,5.679549217,1,F,-7.287699703
763,standard,CH,2,-4.728265762,1,F,0
764,dev1,CH,2,-9.16195488,1,F,-4.433689118
769,standard,CH,2,9.130265236,1,F,0
770,dev1,CH,2,12.79384232,1,F,3.663577084
777,standard,CH,2,-6.90541935,1,F,0
778,dev1,CH,2,-0.536130369,1,F,6.369288981
785,standard,CH,2,14.5696125,1,F,0
786,dev1,CH,2,-8.695793152,1,F,-23.26540565
789,standard,CH,2,6.522102833,1,F,0
790,dev1,CH,2,-4.205485821,1,F,-10.72758865
793,standard,CH,2,0.851976097,1,F,0
794,dev1,CH,2,-5.845139027,1,F,-6.697115124
803,standard,CH,2,-5.42699337,1,F,0
804,dev1,CH,2,4.038692474,1,F,9.465685844
809,standard,CH,2,8.833240509,1,F,0
810,dev1,CH,2,-2.163137436,1,F,-10.99637795
813,standard,CH,2,-9.224435806,1,F,0
814,dev1,CH,2,8.194405556,1,F,17.41884136
