subject,item,condition,region,answer,RT
1,14,f,0,-,356
1,14,f,1,-,242
1,14,f,2,-,2159
1,14,f,3,-,620
1,14,f,4,-,496
1,14,f,5,-,409
1,14,f,6,-,658
1,14,f,7,-,681
1,14,f,8,-,2275
1,14,f,?,0,3964
1,6,f,0,-,523
1,6,f,1,-,302
1,6,f,2,-,271
1,6,f,3,-,303
1,6,f,4,-,1389
1,6,f,5,-,383
1,6,f,6,-,706
1,6,f,7,-,509
1,6,f,8,-,2098
1,6,f,?,1,3903
1,9,b,0,-,403
1,9,b,1,-,257
1,9,b,2,-,385
1,9,b,3,-,389
1,9,b,4,-,497
1,9,b,5,-,328
1,9,b,6,-,315
1,9,b,7,-,308
1,9,b,8,-,543
1,9,b,?,1,2119
1,20,d,0,-,333
1,20,d,1,-,261
1,20,d,2,-,276
1,20,d,3,-,263
1,20,d,4,-,240
1,20,d,5,-,369
1,20,d,6,-,264
1,20,d,7,-,319
1,20,d,8,-,400
1,20,d,?,1,2329
1,7,h,0,-,304
1,7,h,1,-,279
1,7,h,2,-,244
1,7,h,3,-,343
1,7,h,4,-,396
1,7,h,5,-,307
1,7,h,6,-,291
1,7,h,7,-,361
1,7,h,8,-,323
1,7,h,?,1,2286
1,21,e,0,-,320
1,21,e,1,-,269
1,21,e,2,-,274
1,21,e,3,-,245
1,21,e,4,-,274
1,21,e,5,-,386
1,21,e,6,-,288
1,21,e,7,-,297
1,21,e,8,-,512
1,21,e,?,1,1731
1,17,b,0,-,325
1,17,b,1,-,321
1,17,b,2,-,324
1,17,b,3,-,327
1,17,b,4,-,372
1,17,b,5,-,342
1,17,b,6,-,312
1,17,b,7,-,407
1,17,b,8,-,1097
1,17,b,?,1,6200
1,13,e,0,-,259
1,13,e,1,-,233
1,13,e,2,-,229
1,13,e,3,-,216
1,13,e,4,-,459
1,13,e,5,-,296
1,13,e,6,-,276
1,13,e,7,-,290
1,13,e,8,-,424
1,13,e,?,1,972
1,3,c,0,-,225
1,3,c,1,-,258
1,3,c,2,-,236
1,3,c,3,-,224
1,3,c,4,-,276
1,3,c,5,-,335
1,3,c,6,-,269
1,3,c,7,-,287
1,3,c,8,-,274
1,3,c,?,1,1626
1,15,h,0,-,274
1,15,h,1,-,291
1,15,h,2,-,215
1,15,h,3,-,228
1,15,h,4,-,210
1,15,h,5,-,260
1,15,h,6,-,281
1,15,h,7,-,124
1,15,h,8,-,253
1,15,h,?,1,1455
1,19,c,0,-,292
1,19,c,1,-,283
1,19,c,2,-,212
1,19,c,3,-,219
1,19,c,4,-,449
1,19,c,5,-,273
1,19,c,6,-,179
1,19,c,7,-,316
1,19,c,8,-,326
1,19,c,?,1,996
1,18,a,0,-,293
1,18,a,1,-,267
1,18,a,2,-,454
1,18,a,3,-,296
1,18,a,4,-,376
1,18,a,5,-,319
1,18,a,6,-,332
1,18,a,7,-,368
1,18,a,8,-,345
1,18,a,?,1,1375
1,1,b,0,-,302
1,1,b,1,-,280
1,1,b,2,-,277
1,1,b,3,-,1087
1,1,b,4,-,410
1,1,b,5,-,280
1,1,b,6,-,271
1,1,b,7,-,251
1,1,b,8,-,478
1,1,b,?,1,1189
1,4,d,0,-,234
1,4,d,1,-,435
1,4,d,2,-,307
1,4,d,3,-,218
1,4,d,4,-,273
1,4,d,5,-,308
1,4,d,6,-,316
1,4,d,7,-,296
1,4,d,8,-,523
1,4,d,?,1,2288
1,5,e,0,-,374
1,5,e,1,-,296
1,5,e,2,-,665
1,5,e,3,-,336
1,5,e,4,-,304
1,5,e,5,-,538
1,5,e,6,-,307
1,5,e,7,-,246
1,5,e,8,-,528
1,5,e,?,0,1011
1,2,a,0,-,302
1,2,a,1,-,258
1,2,a,2,-,229
1,2,a,3,-,230
1,2,a,4,-,224
1,2,a,5,-,315
1,2,a,6,-,260
1,2,a,7,-,408
1,2,a,8,-,452
1,2,a,?,1,2596
1,11,c,0,-,260
1,11,c,1,-,272
1,11,c,2,-,341
1,11,c,3,-,345
1,11,c,4,-,452
1,11,c,5,-,502
1,11,c,6,-,385
1,11,c,7,-,321
1,11,c,8,-,438
1,11,c,?,1,1195
1,10,a,0,-,264
1,10,a,1,-,240
1,10,a,2,-,258
1,10,a,3,-,273
1,10,a,4,-,250
1,10,a,5,-,581
1,10,a,6,-,291
1,10,a,7,-,313
1,10,a,8,-,540
1,10,a,?,1,2821
1,12,d,0,-,293
1,12,d,1,-,268
1,12,d,2,-,252
1,12,d,3,-,259
1,12,d,4,-,456
1,12,d,5,-,362
1,12,d,6,-,303
1,12,d,7,-,334
1,12,d,8,-,451
1,12,d,?,1,1999
1,8,g,0,-,254
1,8,g,1,-,252
1,8,g,2,-,238
1,8,g,3,-,212
1,8,g,4,-,263
1,8,g,5,-,283
1,8,g,6,-,287
1,8,g,7,-,240
1,8,g,8,-,535
1,8,g,?,1,1673
10,17,a,0,-,833
10,17,a,1,-,560
10,17,a,2,-,589
10,17,a,3,-,421
10,17,a,4,-,552
10,17,a,5,-,397
10,17,a,6,-,393
10,17,a,7,-,459
10,17,a,8,-,660
10,17,a,?,1,1659
10,19,d,0,-,580
10,19,d,1,-,634
10,19,d,2,-,404
10,19,d,3,-,405
10,19,d,4,-,519
10,19,d,5,-,458
10,19,d,6,-,436
10,19,d,7,-,498
10,19,d,8,-,859
10,19,d,?,1,1614
10,15,g,0,-,414
